timestamp,mem_used_mb,cpu_used_pct
2026-04-24T12:09:18+00:00,6069,2.4
2026-04-24T12:09:24+00:00,5969,4.8
2026-04-24T12:09:29+00:00,5992,4.8
2026-04-24T12:09:34+00:00,5996,4.8
2026-04-24T12:09:39+00:00,6003,28.6
2026-04-24T12:09:45+00:00,6011,7.2
2026-04-24T12:09:50+00:00,6010,5
2026-04-24T12:09:55+00:00,5996,7.2
2026-04-24T12:10:00+00:00,5992,2.4
2026-04-24T12:10:05+00:00,5993,4.8
2026-04-24T12:10:11+00:00,5979,4.8
2026-04-24T12:10:16+00:00,5994,0
2026-04-24T12:10:21+00:00,5995,4.8
2026-04-24T12:10:26+00:00,6003,2.4
2026-04-24T12:10:32+00:00,6003,7.3
2026-04-24T12:10:37+00:00,6002,14.6
2026-04-24T12:10:42+00:00,5990,4.8
2026-04-24T12:10:47+00:00,5995,30.7
2026-04-24T12:10:52+00:00,5995,4.8
2026-04-24T12:10:58+00:00,5980,2.4
2026-04-24T12:11:03+00:00,5980,2.5
2026-04-24T12:11:08+00:00,5994,14.3
2026-04-24T12:11:13+00:00,5989,2.4
2026-04-24T12:11:18+00:00,5996,2.4
2026-04-24T12:11:24+00:00,5986,4.8
2026-04-24T12:11:29+00:00,5990,25.6
2026-04-24T12:11:34+00:00,5996,14.7
2026-04-24T12:11:39+00:00,5985,9.8
2026-04-24T12:11:45+00:00,5986,53.5
2026-04-24T12:11:50+00:00,5994,2.5
2026-04-24T12:11:55+00:00,5994,4.8
2026-04-24T12:12:00+00:00,6002,4.6
2026-04-24T12:12:05+00:00,5996,15
2026-04-24T12:12:11+00:00,5996,7.3
2026-04-24T12:12:16+00:00,5991,2.4
2026-04-24T12:12:21+00:00,5990,2.4
2026-04-24T12:12:26+00:00,5993,2.5
2026-04-24T12:12:32+00:00,5986,2.4
2026-04-24T12:12:37+00:00,5992,4.8
2026-04-24T12:12:42+00:00,5992,4.8
2026-04-24T12:12:47+00:00,5997,7.3
2026-04-24T12:12:52+00:00,5985,2.5
2026-04-24T12:12:58+00:00,5990,2.4
2026-04-24T12:13:03+00:00,6043,87.2
2026-04-24T12:13:08+00:00,6176,7.2
2026-04-24T12:13:13+00:00,4492,100
2026-04-24T12:13:19+00:00,4890,76.2
2026-04-24T12:13:24+00:00,5061,62.8
2026-04-24T12:13:29+00:00,5138,100
2026-04-24T12:13:34+00:00,5153,12.5
2026-04-24T12:13:40+00:00,5135,57.2
2026-04-24T12:13:45+00:00,5121,36.6
2026-04-24T12:13:50+00:00,5123,4.8
2026-04-24T12:13:55+00:00,5110,4.8
2026-04-24T12:14:00+00:00,5051,42.5
2026-04-24T12:14:06+00:00,5048,4.8
2026-04-24T12:14:11+00:00,5028,7.2
2026-04-24T12:14:16+00:00,5042,2.4
2026-04-24T12:14:21+00:00,5020,14
2026-04-24T12:14:27+00:00,5300,11.7
2026-04-24T12:14:32+00:00,5295,45
2026-04-24T12:14:37+00:00,5284,7.2
2026-04-24T12:14:42+00:00,5264,12.5
2026-04-24T12:14:47+00:00,5258,9.4
2026-04-24T12:14:53+00:00,5247,50
2026-04-24T12:14:58+00:00,5134,40
2026-04-24T12:15:03+00:00,5127,2.5
2026-04-24T12:15:08+00:00,5138,33.4
2026-04-24T12:15:14+00:00,5118,2.4
2026-04-24T12:15:19+00:00,5131,2.4
2026-04-24T12:15:24+00:00,5133,2.4
2026-04-24T12:15:29+00:00,5123,36.6
2026-04-24T12:15:34+00:00,5121,7.2
2026-04-24T12:15:40+00:00,5115,5
2026-04-24T12:15:45+00:00,5159,0
2026-04-24T12:15:50+00:00,5185,7.3
2026-04-24T12:15:55+00:00,5193,2.4
2026-04-24T12:16:01+00:00,5173,2.4
2026-04-24T12:16:06+00:00,5181,7.3
2026-04-24T12:16:11+00:00,5304,41
2026-04-24T12:16:16+00:00,5311,12.2
2026-04-24T12:16:21+00:00,5312,2.5
2026-04-24T12:16:27+00:00,4907,4.8
2026-04-24T12:16:32+00:00,4747,35
2026-04-24T12:16:37+00:00,4684,4.8
2026-04-24T12:16:42+00:00,4608,4.8
2026-04-24T12:16:48+00:00,4512,4.8
2026-04-24T12:16:53+00:00,4505,52.5
2026-04-24T12:16:58+00:00,4509,2.4
2026-04-24T12:17:03+00:00,4510,34.2
2026-04-24T12:17:08+00:00,4508,4.8
2026-04-24T12:17:14+00:00,4497,4.8
2026-04-24T12:17:19+00:00,4510,11.9
2026-04-24T12:17:24+00:00,4518,19.6
2026-04-24T12:17:29+00:00,4674,46.5
2026-04-24T12:17:35+00:00,4715,7.3
2026-04-24T12:17:40+00:00,4720,4.8
2026-04-24T12:17:45+00:00,4697,4.8
2026-04-24T12:17:50+00:00,4683,73.2
2026-04-24T12:17:55+00:00,4607,42.5
2026-04-24T12:18:01+00:00,4592,15.4
2026-04-24T12:18:06+00:00,4603,4.8
